measured,configuration,performance,std
false,"[LOGLEVEL, COMPRESSIONLEVEL]",0.33,0.0
true,"[]",2.639,0.0
false,"[COMPRESSOR, LOGLEVEL]",82.458,0.0
false,"[COMPRESSOR, COMPRESSIONLEVEL, REMOVEGAMMA]",82.514,0.0
true,"[COMPRESSOR, COMPRESSIONLEVEL]",84.764,0.0
true,"[ITERATIONS, REMOVEGAMMA]",0.393,0.0
false,"[ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",0.234,0.0
true,"[ITERATIONS, LOGLEVEL]",0.345,0.0
true,"[ITERATIONS, COMPRESSIONLEVEL]",2.628,0.0
false,"[ITERATIONS, COMPRESSIONLEVEL, REMOVEGAMMA]",0.378,0.0
false,"[COMPRESSOR, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",82.363,0.0
false,"[LOGLEVEL, REMOVEGAMMA]",0.245,0.0
true,"[COMPRESSOR, ITERATIONS]",221.556,0.0
false,"[COMPRESSIONLEVEL, REMOVEGAMMA]",0.378,0.0
true,"[COMPRESSOR, ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",219.27,0.0
true,"[LOGLEVEL]",0.341,0.0
false,"[COMPRESSOR, ITERATIONS, REMOVEGAMMA]",219.306,0.0
false,"[COMPRESSOR, ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",219.174,0.0
true,"[COMPRESSIONLEVEL]",2.628,0.0
false,"[COMPRESSOR]",84.763,0.0
false,"[COMPRESSOR, LOGLEVEL, COMPRESSIONLEVEL]",82.459,0.0
false,"[ITERATIONS, LOGLEVEL, REMOVEGAMMA]",0.249,0.0
false,"[COMPRESSOR, REMOVEGAMMA]",82.513,0.0
false,"[COMPRESSOR, ITERATIONS, COMPRESSIONLEVEL]",221.559,0.0
false,"[ITERATIONS]",2.643,0.0
false,"[ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",0.33,0.0
true,"[COMPRESSOR, LOGLEVEL, REMOVEGAMMA]",82.362,0.0
false,"[COMPRESSOR, ITERATIONS, COMPRESSIONLEVEL, REMOVEGAMMA]",219.309,0.0
false,"[LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",0.234,0.0
false,"[REMOVEGAMMA]",0.389,0.0
false,"[COMPRESSOR, ITERATIONS, LOGLEVEL]",219.267,0.0
false,"[COMPRESSOR, ITERATIONS, LOGLEVEL, REMOVEGAMMA]",219.171,0.0
