measured,configuration,performance,std
false,"[LOGLEVEL, COMPRESSIONLEVEL]",7.71,0.0
false,"[]",1.91,0.0
false,"[COMPRESSOR, LOGLEVEL]",82.82,0.0
false,"[COMPRESSOR, COMPRESSIONLEVEL, REMOVEGAMMA]",88.62,0.0
false,"[COMPRESSOR, COMPRESSIONLEVEL]",88.62,0.0
false,"[ITERATIONS, REMOVEGAMMA]",1.91,0.0
false,"[ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",7.71,0.0
false,"[ITERATIONS, LOGLEVEL]",1.91,0.0
false,"[ITERATIONS, COMPRESSIONLEVEL]",7.71,0.0
false,"[ITERATIONS, COMPRESSIONLEVEL, REMOVEGAMMA]",7.71,0.0
false,"[COMPRESSOR, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",88.62,0.0
false,"[LOGLEVEL, REMOVEGAMMA]",1.91,0.0
false,"[COMPRESSOR, ITERATIONS]",82.82,0.0
false,"[COMPRESSIONLEVEL, REMOVEGAMMA]",7.71,0.0
false,"[COMPRESSOR, ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",88.62,0.0
true,"[LOGLEVEL]",1.91,0.0
false,"[COMPRESSOR, ITERATIONS, REMOVEGAMMA]",82.82,0.0
false,"[COMPRESSOR, ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",88.62,0.0
true,"[COMPRESSIONLEVEL]",7.71,0.0
true,"[COMPRESSOR]",82.82,0.0
false,"[COMPRESSOR, LOGLEVEL, COMPRESSIONLEVEL]",88.62,0.0
false,"[ITERATIONS, LOGLEVEL, REMOVEGAMMA]",1.91,0.0
false,"[COMPRESSOR, REMOVEGAMMA]",82.82,0.0
false,"[COMPRESSOR, ITERATIONS, COMPRESSIONLEVEL]",88.62,0.0
true,"[ITERATIONS]",1.91,0.0
false,"[ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",7.71,0.0
false,"[COMPRESSOR, LOGLEVEL, REMOVEGAMMA]",82.82,0.0
false,"[COMPRESSOR, ITERATIONS, COMPRESSIONLEVEL, REMOVEGAMMA]",88.62,0.0
false,"[LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",7.71,0.0
true,"[REMOVEGAMMA]",1.91,0.0
false,"[COMPRESSOR, ITERATIONS, LOGLEVEL]",82.82,0.0
false,"[COMPRESSOR, ITERATIONS, LOGLEVEL, REMOVEGAMMA]",82.82,0.0
