measured,configuration,performance,std,minci,maxci
true,"[COMPRESSOR, COMPRESSIONLEVEL]",83.567,1.249,81.58,85.554
true,"[COMPRESSIONLEVEL, REMOVEGAMMA]",7.836,0.084,7.703,7.969
true,"[COMPRESSOR, ITERATIONS, COMPRESSIONLEVEL, REMOVEGAMMA]",222.583,2.041,219.336,225.831
true,"[COMPRESSOR, COMPRESSIONLEVEL, REMOVEGAMMA]",83.224,0.756,82.021,84.428
true,"[REMOVEGAMMA]",1.877,0.01,1.861,1.893
true,"[COMPRESSOR, ITERATIONS, REMOVEGAMMA]",221.37,1.963,218.246,224.494
true,"[COMPRESSOR, LOGLEVEL, COMPRESSIONLEVEL]",83.744,0.583,82.816,84.673
true,"[ITERATIONS, LOGLEVEL]",1.909,0.007,1.897,1.921
true,"[]",1.887,0.009,1.874,1.901
true,"[ITERATIONS, COMPRESSIONLEVEL, REMOVEGAMMA]",7.784,0.076,7.662,7.905
true,"[COMPRESSOR, ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",223.437,2.471,219.505,227.369
true,"[ITERATIONS, LOGLEVEL, REMOVEGAMMA]",1.91,0.009,1.896,1.924
true,"[COMPRESSOR, LOGLEVEL, REMOVEGAMMA]",84.217,0.633,83.21,85.224
true,"[COMPRESSOR, REMOVEGAMMA]",83.842,0.795,82.578,85.106
true,"[ITERATIONS, REMOVEGAMMA]",1.884,0.005,1.877,1.891
true,"[COMPRESSOR]",83.499,0.855,82.139,84.86
true,"[LOGLEVEL, COMPRESSIONLEVEL]",7.806,0.105,7.638,7.974
true,"[ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",7.811,0.215,7.469,8.154
true,"[COMPRESSOR, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",83.753,0.628,82.753,84.753
true,"[COMPRESSOR, ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",224.37,1.785,221.53,227.21
true,"[COMPRESSOR, ITERATIONS, COMPRESSIONLEVEL]",223.318,0.959,221.792,224.845
true,"[LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",7.814,0.125,7.615,8.013
true,"[LOGLEVEL, REMOVEGAMMA]",1.908,0.007,1.897,1.918
true,"[COMPRESSOR, ITERATIONS, LOGLEVEL, REMOVEGAMMA]",224.548,2.035,221.31,227.786
true,"[COMPRESSIONLEVEL]",7.741,0.277,7.301,8.182
true,"[COMPRESSOR, ITERATIONS, LOGLEVEL]",223.684,2.142,220.276,227.093
true,"[LOGLEVEL]",1.904,0.009,1.89,1.919
true,"[ITERATIONS, COMPRESSIONLEVEL]",7.866,0.18,7.58,8.151
true,"[COMPRESSOR, ITERATIONS]",221.099,1.557,218.621,223.577
true,"[COMPRESSOR, LOGLEVEL]",82.874,1.74,80.105,85.643
true,"[ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",7.737,0.136,7.52,7.954
true,"[ITERATIONS]",1.885,0.009,1.871,1.899
