measured,configuration,performance,std
true,"[LOGLEVEL, COMPRESSIONLEVEL]",6.073,0.0
true,"[]",0.36,0.0
true,"[COMPRESSOR, LOGLEVEL]",80.62,0.0
false,"[COMPRESSOR, COMPRESSIONLEVEL, REMOVEGAMMA]",79.674,0.0
true,"[COMPRESSOR, COMPRESSIONLEVEL]",79.553,0.0
true,"[ITERATIONS, REMOVEGAMMA]",0.351,0.0
false,"[ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",6.578,0.0
true,"[ITERATIONS, LOGLEVEL]",0.373,0.0
true,"[ITERATIONS, COMPRESSIONLEVEL]",6.081,0.0
false,"[ITERATIONS, COMPRESSIONLEVEL, REMOVEGAMMA]",6.457,0.0
false,"[COMPRESSOR, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",79.531,0.0
true,"[LOGLEVEL, REMOVEGAMMA]",0.374,0.0
true,"[COMPRESSOR, ITERATIONS]",215.943,0.0
true,"[COMPRESSIONLEVEL, REMOVEGAMMA]",6.334,0.0
false,"[COMPRESSOR, ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",214.587,0.0
true,"[LOGLEVEL]",0.375,0.0
false,"[COMPRESSOR, ITERATIONS, REMOVEGAMMA]",215.65,0.0
false,"[COMPRESSOR, ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",214.691,0.0
true,"[COMPRESSIONLEVEL]",5.94,0.0
true,"[COMPRESSOR]",80.882,0.0
false,"[COMPRESSOR, LOGLEVEL, COMPRESSIONLEVEL]",79.409,0.0
false,"[ITERATIONS, LOGLEVEL, REMOVEGAMMA]",0.354,0.0
true,"[COMPRESSOR, REMOVEGAMMA]",80.607,0.0
false,"[COMPRESSOR, ITERATIONS, COMPRESSIONLEVEL]",214.744,0.0
true,"[ITERATIONS]",0.371,0.0
false,"[ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",6.201,0.0
false,"[COMPRESSOR, LOGLEVEL, REMOVEGAMMA]",80.346,0.0
false,"[COMPRESSOR, ITERATIONS, COMPRESSIONLEVEL, REMOVEGAMMA]",214.847,0.0
false,"[LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",6.468,0.0
true,"[REMOVEGAMMA]",0.358,0.0
false,"[COMPRESSOR, ITERATIONS, LOGLEVEL]",215.668,0.0
false,"[COMPRESSOR, ITERATIONS, LOGLEVEL, REMOVEGAMMA]",215.376,0.0
