measured,configuration,performance,std
true,"[]",1.89,0.007
false,"[ITERATIONS]",1.89,0.007
true,"[LOGLEVEL, COMPRESSIONLEVEL]",7.853,0.093
false,"[ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",7.853,0.093
true,"[COMPRESSOR]",84.154,0.716
false,"[COMPRESSOR, COMPRESSIONLEVEL]",84.154,0.716
true,"[COMPRESSOR, LOGLEVEL]",80.268,1.364
false,"[COMPRESSOR, LOGLEVEL, COMPRESSIONLEVEL]",80.268,1.364
true,"[COMPRESSOR, REMOVEGAMMA]",83.616,0.619
false,"[COMPRESSOR, REMOVEGAMMA, COMPRESSIONLEVEL]",83.616,0.619
true,"[COMPRESSOR, LOGLEVEL, REMOVEGAMMA]",83.81,0.498
false,"[COMPRESSOR, LOGLEVEL, REMOVEGAMMA, COMPRESSIONLEVEL]",83.81,0.498
true,"[LOGLEVEL, REMOVEGAMMA]",1.904,0.005
false,"[ITERATIONS, LOGLEVEL, REMOVEGAMMA]",1.904,0.005
true,"[LOGLEVEL, REMOVEGAMMA, COMPRESSIONLEVEL]",7.718,0.114
false,"[ITERATIONS, LOGLEVEL, REMOVEGAMMA, COMPRESSIONLEVEL]",7.718,0.114
true,"[REMOVEGAMMA, COMPRESSIONLEVEL]",7.798,0.133
false,"[ITERATIONS, REMOVEGAMMA, COMPRESSIONLEVEL]",7.798,0.133
true,"[COMPRESSOR, ITERATIONS]",222.645,1.217
false,"[COMPRESSOR, ITERATIONS, COMPRESSIONLEVEL]",222.645,1.217
true,"[COMPRESSOR, ITERATIONS, REMOVEGAMMA]",221.756,1.542
false,"[COMPRESSOR, ITERATIONS, REMOVEGAMMA, COMPRESSIONLEVEL]",221.756,1.542
true,"[LOGLEVEL]",1.918,0.007
false,"[ITERATIONS, LOGLEVEL]",1.918,0.007
true,"[COMPRESSIONLEVEL]",7.783,0.215
false,"[ITERATIONS, COMPRESSIONLEVEL]",7.783,0.215
true,"[REMOVEGAMMA]",1.886,0.011
false,"[ITERATIONS, REMOVEGAMMA]",1.886,0.011
true,"[COMPRESSOR, ITERATIONS, LOGLEVEL]",222.723,1.698
false,"[COMPRESSOR, ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",222.723,1.698
true,"[COMPRESSOR, ITERATIONS, LOGLEVEL, REMOVEGAMMA]",226.177,1.614
false,"[COMPRESSOR, ITERATIONS, LOGLEVEL, REMOVEGAMMA, COMPRESSIONLEVEL]",226.177,1.614
