measured,configuration,performance,std
true,"[]",1.893,0
false,"[ITERATIONS]",1.893,0
true,"[LOGLEVEL, COMPRESSIONLEVEL]",7.693,0
false,"[ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",7.693,0
true,"[COMPRESSOR]",82.819,0
false,"[COMPRESSOR, COMPRESSIONLEVEL]",82.819,0
true,"[COMPRESSOR, LOGLEVEL]",82.358,0
false,"[COMPRESSOR, LOGLEVEL, COMPRESSIONLEVEL]",82.358,0
true,"[COMPRESSOR, REMOVEGAMMA]",84.005,0
false,"[COMPRESSOR, REMOVEGAMMA, COMPRESSIONLEVEL]",84.005,0
true,"[COMPRESSOR, LOGLEVEL, REMOVEGAMMA]",83.997,0
false,"[COMPRESSOR, LOGLEVEL, REMOVEGAMMA, COMPRESSIONLEVEL]",83.997,0
true,"[LOGLEVEL, REMOVEGAMMA]",1.903,0
false,"[ITERATIONS, LOGLEVEL, REMOVEGAMMA]",1.903,0
true,"[LOGLEVEL, REMOVEGAMMA, COMPRESSIONLEVEL]",7.665,0
false,"[ITERATIONS, LOGLEVEL, REMOVEGAMMA, COMPRESSIONLEVEL]",7.665,0
true,"[REMOVEGAMMA, COMPRESSIONLEVEL]",7.546,0
false,"[ITERATIONS, REMOVEGAMMA, COMPRESSIONLEVEL]",7.546,0
true,"[COMPRESSOR, ITERATIONS]",220.7,0
false,"[COMPRESSOR, ITERATIONS, COMPRESSIONLEVEL]",220.7,0
true,"[COMPRESSOR, ITERATIONS, REMOVEGAMMA]",221.999,0
false,"[COMPRESSOR, ITERATIONS, REMOVEGAMMA, COMPRESSIONLEVEL]",221.999,0
true,"[LOGLEVEL]",1.91,0
false,"[ITERATIONS, LOGLEVEL]",1.91,0
true,"[COMPRESSIONLEVEL]",7.709,0
false,"[ITERATIONS, COMPRESSIONLEVEL]",7.709,0
true,"[REMOVEGAMMA]",1.896,0
false,"[ITERATIONS, REMOVEGAMMA]",1.896,0
true,"[COMPRESSOR, ITERATIONS, LOGLEVEL]",222.783,0
false,"[COMPRESSOR, ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",222.783,0
true,"[COMPRESSOR, ITERATIONS, LOGLEVEL, REMOVEGAMMA]",225.413,0
false,"[COMPRESSOR, ITERATIONS, LOGLEVEL, REMOVEGAMMA, COMPRESSIONLEVEL]",225.413,0
