measured,configuration,brute_force,brute_force_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"true","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, JOURNALSERIALIZER, CLOCK]",67.584,0,68.084,0.374,67.155,69.014,true,0.5,0.007,0.25
"true","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR]",5.841,0,6.236,0.299,5.493,6.979,true,0.395,0.063,0.156
"true","[]",13.668,0,13.956,0.508,12.695,15.217,true,0.288,0.021,0.083
"true","[DEEPCOPY, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",34.721,0,35.874,0.384,34.92,36.828,false,1.153,0.032,1.329
"true","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",9.35,0,9.281,0.111,9.006,9.557,true,0.069,0.007,0.005
"true","[DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",62.754,0,61.098,0.536,59.768,62.429,false,1.656,0.027,2.742
"true","[TRANSIENTMODE, DISKSYNC, FILESIZETHRESHOLD, CLOCK]",6.468,0,6.067,0.237,5.478,6.657,true,0.401,0.066,0.161
"true","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",18.842,0,18.846,0.624,17.296,20.397,true,0.004,0,0
"true","[DEEPCOPY, MONITOR, DISKSYNC, JOURNALSERIALIZER]",67.56,0,67.526,0.477,66.34,68.712,true,0.034,0.001,0.001
"true","[FILEAGETHRESHOLD, CLOCK]",13.629,0,13.672,0.493,12.447,14.897,true,0.043,0.003,0.002
"true","[DEEPCOPY, TRANSIENTMODE, DISKSYNC]",9.127,0,8.64,0.139,8.294,8.986,false,0.487,0.056,0.237
"true","[MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, CLOCK]",48.235,0,47.967,0.411,46.946,48.989,true,0.268,0.006,0.072
