measured,configuration,config_crusher,config_crusher_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR]",7.59,0.0,6.236,0.299,5.493,6.979,false,1.354,0.217,1.833
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, JOURNALSERIALIZER, CLOCK]",57.539,0.0,68.084,0.374,67.155,69.014,false,10.545,0.155,111.197
"true","[]",15.438,0.0,13.956,0.508,12.695,15.217,false,1.482,0.106,2.196
"false","[DEEPCOPY, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",27.031,0.0,35.874,0.384,34.92,36.828,false,8.843,0.247,78.199
"false","[DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",61.772,0.0,61.098,0.536,59.768,62.429,true,0.674,0.011,0.454
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",11.974,0.0,9.281,0.111,9.006,9.557,false,2.693,0.29,7.252
"false","[TRANSIENTMODE, DISKSYNC, FILESIZETHRESHOLD, CLOCK]",6.36,0.0,6.067,0.237,5.478,6.657,true,0.293,0.048,0.086
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",11.456,0.0,18.846,0.624,17.296,20.397,false,7.39,0.392,54.612
"false","[FILEAGETHRESHOLD, CLOCK]",15.457,0.0,13.672,0.493,12.447,14.897,false,1.785,0.131,3.186
"false","[DEEPCOPY, MONITOR, DISKSYNC, JOURNALSERIALIZER]",57.303,0.0,67.526,0.477,66.34,68.712,false,10.223,0.151,104.51
"false","[DEEPCOPY, TRANSIENTMODE, DISKSYNC]",6.803,0.0,8.64,0.139,8.294,8.986,false,1.837,0.213,3.375
"false","[MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, CLOCK]",51.736,0.0,47.967,0.411,46.946,48.989,false,3.769,0.079,14.205
"false","[DEEPCOPY, MONITOR, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",27.202,0.0,35.909,0.462,34.763,37.056,false,8.707,0.242,75.812
"false","[DEEPCOPY, FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",57.368,0.0,67.796,0.119,67.502,68.091,false,10.428,0.154,108.743
"false","[DEEPCOPY, FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",57.86,0.0,67.162,0.701,65.421,68.903,false,9.302,0.139,86.527
"false","[DEEPCOPY, TRANSIENTMODE, DISKSYNC, CLOCK]",6.311,0.0,8.605,0.684,6.906,10.305,false,2.294,0.267,5.262
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, JOURNALSERIALIZER]",58.031,0.0,67.787,0.479,66.598,68.976,false,9.756,0.144,95.18
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",12.099,0.0,18.909,0.275,18.225,19.593,false,6.81,0.36,46.376
"false","[DEEPCOPY, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",57.132,0.0,68.124,0.717,66.342,69.906,false,10.992,0.161,120.824
"false","[MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",61.451,0.0,61.276,0.324,60.472,62.08,true,0.175,0.003,0.031
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, CLOCK]",7.098,0.0,6.13,0.349,5.264,6.997,false,0.968,0.158,0.937
"false","[MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",61.943,0.0,61.578,0.707,59.821,63.335,true,0.365,0.006,0.133
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, JOURNALSERIALIZER, FILESIZETHRESHOLD]",11.803,0.0,9.331,0.368,8.417,10.246,false,2.472,0.265,6.111
"false","[TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",12.125,0.0,9.539,0.734,7.716,11.362,false,2.586,0.271,6.687
"false","[FILEAGETHRESHOLD]",15.949,0.0,13.573,0.454,12.444,14.701,false,2.376,0.175,5.645
"false","[MONITOR, DISKSYNC, SNAPSHOTSERIALIZER]",52.228,0.0,47.387,0.628,45.827,48.947,false,4.841,0.102,23.435
"false","[DEEPCOPY, MONITOR, DISKSYNC, JOURNALSERIALIZER, CLOCK]",56.811,0.0,67.124,0.182,66.672,67.575,false,10.313,0.154,106.358
"false","[DEEPCOPY, FILEAGETHRESHOLD, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",26.214,0.0,35.665,0.855,33.539,37.79,false,9.451,0.265,89.321
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",11.948,0.0,19.237,0.348,18.373,20.1,false,7.289,0.379,53.13
"false","[DEEPCOPY, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",27.523,0.0,34.998,0.246,34.388,35.609,false,7.475,0.214,55.876
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",11.482,0.0,9.384,0.283,8.681,10.087,false,2.098,0.224,4.402
"false","[DEEPCOPY, TRANSIENTMODE, FILESIZETHRESHOLD, CLOCK]",6.334,0.0,9.085,0.013,9.054,9.116,false,2.751,0.303,7.568
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",12.659,0.0,18.894,0.625,17.342,20.446,false,6.235,0.33,38.875
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, SNAPSHOTSERIALIZER]",7.419,0.0,6.046,0.171,5.621,6.471,false,1.373,0.227,1.885
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, CLOCK]",6.901,0.0,8.519,0.286,7.809,9.229,false,1.618,0.19,2.618
"false","[CLOCK]",14.946,0.0,13.956,0.47,12.789,15.124,true,0.99,0.071,0.98
"false","[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",62.872,0.0,61.862,0.593,60.39,63.334,true,1.01,0.016,1.02
"false","[FILEAGETHRESHOLD, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER]",52.96,0.0,47.638,0.586,46.181,49.095,false,5.322,0.112,28.324
"false","[MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",20.71,0.0,18.399,0.185,17.938,18.86,false,2.311,0.126,5.341
"true","[TRANSIENTMODE, JOURNALSERIALIZER, FILESIZETHRESHOLD]",11.954,0.0,9.31,0.108,9.041,9.579,false,2.644,0.284,6.991
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, SNAPSHOTSERIALIZER, CLOCK]",15.602,0.0,18.066,0.866,15.916,20.217,false,2.464,0.136,6.071
"false","[FILEAGETHRESHOLD, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",63.535,0.0,61.438,0.047,61.323,61.554,false,2.097,0.034,4.397
"false","[TRANSIENTMODE, SNAPSHOTSERIALIZER]",6.829,0.0,6.395,0.434,5.317,7.474,true,0.434,0.068,0.188
"false","[TRANSIENTMODE, SNAPSHOTSERIALIZER, CLOCK]",6.337,0.0,6.058,0.398,5.068,7.047,true,0.279,0.046,0.078
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",57.919,0.0,61.477,0.269,60.81,62.145,false,3.558,0.058,12.659
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, FILESIZETHRESHOLD, CLOCK]",6.186,0.0,8.736,0.266,8.075,9.396,false,2.55,0.292,6.503
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",6.505,0.0,8.617,0.344,7.762,9.473,false,2.112,0.245,4.461
"true","[FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER]",12.514,0.0,9.226,0.142,8.873,9.579,false,3.288,0.356,10.811
"false","[DEEPCOPY, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",56.64,0.0,67.697,0.397,66.71,68.683,false,11.057,0.163,122.257
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, FILESIZETHRESHOLD]",6.678,0.0,8.55,0.369,7.634,9.467,false,1.872,0.219,3.504
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",6.997,0.0,8.616,0.169,8.195,9.037,false,1.619,0.188,2.621
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",11.607,0.0,18.446,0.234,17.866,19.027,false,6.839,0.371,46.772
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",58.411,0.0,62.168,0.576,60.738,63.599,false,3.757,0.06,14.115
"false","[TRANSIENTMODE, MONITOR]",7.0,0.0,6.026,0.441,4.93,7.121,true,0.974,0.162,0.949
"false","[TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",12.103,0.0,9.404,0.248,8.787,10.021,false,2.699,0.287,7.285
"false","[FILEAGETHRESHOLD, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",21.217,0.0,18.455,0.211,17.931,18.98,false,2.762,0.15,7.629
"false","[DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",61.28,0.0,62.088,0.414,61.059,63.118,true,0.808,0.013,0.653
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",6.678,0.0,8.489,0.133,8.158,8.82,false,1.811,0.213,3.28
"false","[MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",20.218,0.0,18.738,0.734,16.915,20.56,true,1.48,0.079,2.19
"true","[TRANSIENTMODE, DISKSYNC, FILESIZETHRESHOLD]",6.852,0.0,6.076,0.395,5.095,7.056,true,0.776,0.128,0.602
"false","[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",63.364,0.0,62.159,0.254,61.528,62.789,false,1.205,0.019,1.452
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",12.167,0.0,18.643,0.216,18.107,19.179,false,6.476,0.347,41.939
"false","[FILEAGETHRESHOLD, DISKSYNC, FILESIZETHRESHOLD]",58.266,0.0,53.418,0.669,51.756,55.08,false,4.848,0.091,23.503
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",26.385,0.0,35.245,0.299,34.504,35.987,false,8.86,0.251,78.5
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, FILESIZETHRESHOLD, CLOCK]",6.357,0.0,8.947,0.22,8.4,9.493,false,2.59,0.289,6.708
"false","[DEEPCOPY, FILESIZETHRESHOLD, CLOCK]",21.932,0.0,24.432,1.181,21.499,27.365,true,2.5,0.102,6.25
"false","[TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",11.462,0.0,9.608,0.241,9.008,10.207,false,1.854,0.193,3.437
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, CLOCK]",11.585,0.0,18.745,0.565,17.341,20.149,false,7.16,0.382,51.266
"false","[DEEPCOPY, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",11.906,0.0,18.635,0.366,17.725,19.545,false,6.729,0.361,45.279
"false","[DEEPCOPY, FILEAGETHRESHOLD, DISKSYNC, CLOCK]",52.271,0.0,54.583,0.378,53.645,55.521,false,2.312,0.042,5.345
"false","[TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, CLOCK]",11.44,0.0,9.582,0.114,9.3,9.864,false,1.858,0.194,3.452
"false","[DEEPCOPY, FILEAGETHRESHOLD, DISKSYNC]",52.763,0.0,54.742,0.064,54.583,54.902,false,1.979,0.036,3.916
"false","[DEEPCOPY, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",11.414,0.0,18.542,0.425,17.485,19.599,false,7.128,0.384,50.808
"false","[MONITOR, JOURNALSERIALIZER]",20.71,0.0,18.789,0.516,17.506,20.072,false,1.921,0.102,3.69
"true","[TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER]",11.932,0.0,9.079,0.119,8.784,9.373,false,2.853,0.314,8.14
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER]",12.077,0.0,19.067,0.81,17.054,21.08,false,6.99,0.367,48.86
"false","[MONITOR, JOURNALSERIALIZER, CLOCK]",20.218,0.0,18.559,0.088,18.341,18.778,false,1.659,0.089,2.752
"false","[TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",11.633,0.0,9.417,0.241,8.817,10.016,false,2.216,0.235,4.911
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",12.193,0.0,9.74,0.183,9.285,10.194,false,2.453,0.252,6.017
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",26.385,0.0,35.758,0.281,35.061,36.456,false,9.373,0.262,87.853
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",12.685,0.0,9.4,0.221,8.85,9.949,false,3.285,0.349,10.791
"false","[DEEPCOPY, FILEAGETHRESHOLD, FILESIZETHRESHOLD, CLOCK]",21.116,0.0,25.086,0.603,23.587,26.584,false,3.97,0.158,15.761
"false","[TRANSIENTMODE]",6.829,0.0,6.119,0.243,5.515,6.723,false,0.71,0.116,0.504
"false","[TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, CLOCK]",6.508,0.0,5.656,0.08,5.457,5.856,false,0.852,0.151,0.726
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, FILESIZETHRESHOLD]",6.849,0.0,8.703,0.309,7.937,9.47,false,1.854,0.213,3.437
"false","[DEEPCOPY, FILESIZETHRESHOLD]",22.424,0.0,24.6,0.358,23.71,25.49,false,2.176,0.088,4.735
"false","[TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",12.125,0.0,9.001,0.276,8.316,9.686,false,3.124,0.347,9.759
"false","[FILEAGETHRESHOLD, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",21.046,0.0,18.138,0.295,17.406,18.87,false,2.908,0.16,8.456
"false","[DEEPCOPY, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",11.436,0.0,18.704,0.312,17.929,19.48,false,7.268,0.389,52.824
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",11.585,0.0,19.269,0.494,18.042,20.497,false,7.684,0.399,59.044
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",11.482,0.0,9.528,0.488,8.316,10.74,false,1.954,0.205,3.818
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",6.186,0.0,8.434,0.111,8.159,8.709,false,2.248,0.267,5.054
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",11.996,0.0,18.918,0.395,17.936,19.901,false,6.922,0.366,47.914
"false","[FILEAGETHRESHOLD, DISKSYNC, FILESIZETHRESHOLD, CLOCK]",57.774,0.0,53.436,0.364,52.531,54.341,false,4.338,0.081,18.818
"false","[JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",20.047,0.0,18.583,0.822,16.541,20.625,true,1.464,0.079,2.143
"false","[DEEPCOPY, DISKSYNC, JOURNALSERIALIZER]",57.132,0.0,67.415,0.188,66.948,67.882,false,10.283,0.153,105.74
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",11.803,0.0,9.489,0.471,8.318,10.659,false,2.314,0.244,5.355
"false","[DEEPCOPY, FILEAGETHRESHOLD, FILESIZETHRESHOLD]",21.608,0.0,24.156,0.753,22.284,26.027,false,2.548,0.105,6.492
