measured,configuration,feature_wise,feature_wise_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR]",6.33,0.0,6.236,0.299,5.493,6.979,true,0.094,0.015,0.009
"false","[]",13.78,0.0,13.956,0.508,12.695,15.217,true,0.176,0.013,0.031
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, JOURNALSERIALIZER, CLOCK]",54.69,0.0,68.084,0.374,67.155,69.014,false,13.394,0.197,179.399
"false","[DEEPCOPY, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",25.24,0.0,35.874,0.384,34.92,36.828,false,10.634,0.296,113.082
"false","[DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",54.43,0.0,61.098,0.536,59.768,62.429,false,6.668,0.109,44.462
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",46.98,0.0,9.281,0.111,9.006,9.557,false,37.699,4.062,1421.215
"false","[TRANSIENTMODE, DISKSYNC, FILESIZETHRESHOLD, CLOCK]",43.64,0.0,6.067,0.237,5.478,6.657,false,37.573,6.193,1411.73
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",17.79,0.0,18.846,0.624,17.296,20.397,true,1.056,0.056,1.115
"false","[DEEPCOPY, MONITOR, DISKSYNC, JOURNALSERIALIZER]",54.69,0.0,67.526,0.477,66.34,68.712,false,12.836,0.19,164.763
"false","[FILEAGETHRESHOLD, CLOCK]",13.78,0.0,13.672,0.493,12.447,14.897,true,0.108,0.008,0.012
"false","[DEEPCOPY, TRANSIENTMODE, DISKSYNC]",43.3,0.0,8.64,0.139,8.294,8.986,false,34.66,4.012,1201.316
"false","[MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, CLOCK]",46.26,0.0,47.967,0.411,46.946,48.989,false,1.707,0.036,2.914
"false","[DEEPCOPY, MONITOR, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",25.84,0.0,35.909,0.462,34.763,37.056,false,10.069,0.28,101.385
"false","[DEEPCOPY, FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",54.09,0.0,67.796,0.119,67.502,68.091,false,13.706,0.202,187.854
"false","[DEEPCOPY, FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",54.09,0.0,67.162,0.701,65.421,68.903,false,13.072,0.195,170.877
"false","[DEEPCOPY, TRANSIENTMODE, DISKSYNC, CLOCK]",43.3,0.0,8.605,0.684,6.906,10.305,false,34.695,4.032,1203.743
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, JOURNALSERIALIZER]",54.69,0.0,67.787,0.479,66.598,68.976,false,13.097,0.193,171.531
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",17.79,0.0,18.909,0.275,18.225,19.593,false,1.119,0.059,1.252
"false","[DEEPCOPY, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",54.09,0.0,68.124,0.717,66.342,69.906,false,14.034,0.206,196.953
"false","[MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",55.03,0.0,61.276,0.324,60.472,62.08,false,6.246,0.102,39.013
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, CLOCK]",6.33,0.0,6.13,0.349,5.264,6.997,true,0.2,0.033,0.04
"false","[MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",55.03,0.0,61.578,0.707,59.821,63.335,false,6.548,0.106,42.876
