measured,configuration,pair_wise,pair_wise_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"true","[]",13.72,0.0,13.956,0.508,12.695,15.217,true,0.236,0.017,0.056
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, JOURNALSERIALIZER, CLOCK]",72.78,0.0,68.084,0.374,67.155,69.014,false,4.696,0.069,22.052
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR]",7.02,0.0,6.236,0.299,5.493,6.979,false,0.784,0.126,0.615
"false","[DEEPCOPY, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",36.85,0.0,35.874,0.384,34.92,36.828,false,0.976,0.027,0.953
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",21.56,0.0,9.281,0.111,9.006,9.557,false,12.279,1.323,150.774
"false","[DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",65.34,0.0,61.098,0.536,59.768,62.429,false,4.242,0.069,17.995
"false","[TRANSIENTMODE, DISKSYNC, FILESIZETHRESHOLD, CLOCK]",12.66,0.0,6.067,0.237,5.478,6.657,false,6.593,1.087,43.468
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",24.74,0.0,18.846,0.624,17.296,20.397,false,5.894,0.313,34.739
"true","[FILEAGETHRESHOLD, CLOCK]",13.36,0.0,13.672,0.493,12.447,14.897,true,0.312,0.023,0.097
"false","[DEEPCOPY, MONITOR, DISKSYNC, JOURNALSERIALIZER]",70.16,0.0,67.526,0.477,66.34,68.712,false,2.634,0.039,6.938
"false","[DEEPCOPY, TRANSIENTMODE, DISKSYNC]",13.37,0.0,8.64,0.139,8.294,8.986,false,4.73,0.547,22.373
"false","[MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, CLOCK]",48.83,0.0,47.967,0.411,46.946,48.989,true,0.863,0.018,0.745
"false","[DEEPCOPY, MONITOR, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",36.85,0.0,35.909,0.462,34.763,37.056,true,0.941,0.026,0.885
"false","[DEEPCOPY, FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",71.84,0.0,67.796,0.119,67.502,68.091,false,4.044,0.06,16.354
"false","[DEEPCOPY, FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",70.16,0.0,67.162,0.701,65.421,68.903,false,2.998,0.045,8.988
"false","[DEEPCOPY, TRANSIENTMODE, DISKSYNC, CLOCK]",15.05,0.0,8.605,0.684,6.906,10.305,false,6.445,0.749,41.538
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, JOURNALSERIALIZER]",71.1,0.0,67.787,0.479,66.598,68.976,false,3.313,0.049,10.976
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",24.16,0.0,18.909,0.275,18.225,19.593,false,5.251,0.278,27.573
"false","[DEEPCOPY, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",70.16,0.0,68.124,0.717,66.342,69.906,false,2.036,0.03,4.145
"false","[MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",67.02,0.0,61.276,0.324,60.472,62.08,false,5.744,0.094,32.994
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, CLOCK]",6.66,0.0,6.13,0.349,5.264,6.997,true,0.53,0.086,0.281
"false","[MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",65.34,0.0,61.578,0.707,59.821,63.335,false,3.762,0.061,14.153
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, JOURNALSERIALIZER, FILESIZETHRESHOLD]",12.47,0.0,9.331,0.368,8.417,10.246,false,3.139,0.336,9.853
