measured,configuration,splat,splat_std,brute_force,brute_force_std,absolute error,relative error,squared error
"true","[]",13.668,0.0,13.956,0.415,0.288,0.021,0.083
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR]",6.338,0.0,6.236,0.244,0.102,0.016,0.01
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, JOURNALSERIALIZER, CLOCK]",67.088,0.0,68.084,0.306,0.996,0.015,0.992
"true","[DEEPCOPY, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",34.721,0.0,35.874,0.314,1.153,0.032,1.329
"true","[DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",62.754,0.0,61.098,0.437,1.656,0.027,2.742
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",9.414,0.0,9.281,0.091,0.133,0.014,0.018
"false","[TRANSIENTMODE, DISKSYNC, FILESIZETHRESHOLD, CLOCK]",5.952,0.0,6.067,0.194,0.115,0.019,0.013
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",20.061,0.0,18.846,0.51,1.215,0.064,1.476
"true","[FILEAGETHRESHOLD, CLOCK]",13.629,0.0,13.672,0.403,0.043,0.003,0.002
"false","[DEEPCOPY, MONITOR, DISKSYNC, JOURNALSERIALIZER]",68.085,0.0,67.526,0.39,0.559,0.008,0.312
"false","[DEEPCOPY, TRANSIENTMODE, DISKSYNC]",8.755,0.0,8.64,0.114,0.115,0.013,0.013
"false","[MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, CLOCK]",48.243,0.0,47.967,0.336,0.276,0.006,0.076
"false","[DEEPCOPY, MONITOR, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",36.074,0.0,35.909,0.377,0.165,0.005,0.027
"true","[DEEPCOPY, FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",68.889,0.0,67.796,0.097,1.093,0.016,1.195
"true","[DEEPCOPY, FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",67.187,0.0,67.162,0.572,0.025,0,0.001
"false","[DEEPCOPY, TRANSIENTMODE, DISKSYNC, CLOCK]",8.369,0.0,8.605,0.559,0.236,0.027,0.056
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",19.157,0.0,18.909,0.225,0.248,0.013,0.062
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, JOURNALSERIALIZER]",67.512,0.0,67.787,0.391,0.275,0.004,0.076
"true","[DEEPCOPY, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",67.411,0.0,68.124,0.586,0.713,0.01,0.508
"false","[MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",61.53,0.0,61.276,0.264,0.254,0.004,0.065
