measured,configuration,config_crusher,config_crusher_std,brute_force,brute_force_std,absolute error,relative error,squared error
"true","[]",1.061,0.0,1.007,0.002,0.054,0.054,0.003
"true","[A]",3.059,0.0,3.012,0.003,0.047,0.016,0.002
"false","[B]",1.059,0.0,1.01,0.002,0.049,0.049,0.002
"false","[C]",1.061,0.0,1.012,0.003,0.049,0.048,0.002
"false","[A, B]",7.062,0.0,7.016,0.005,0.046,0.007,0.002
"false","[D]",1.061,0.0,1.008,0.002,0.053,0.053,0.003
"false","[A, C]",10.06,0.0,10.021,0.004,0.039,0.004,0.002
"true","[B, C]",1.059,0.0,1.007,0.003,0.052,0.052,0.003
"false","[A, D]",3.059,0.0,3.011,0.005,0.048,0.016,0.002
"false","[B, D]",1.059,0.0,1.013,0.004,0.046,0.045,0.002
"true","[A, B, C]",14.063,0.0,14.018,0.006,0.045,0.003,0.002
"false","[C, D]",1.061,0.0,1.008,0.003,0.053,0.053,0.003
"false","[A, B, D]",7.062,0.0,7.013,0.004,0.049,0.007,0.002
"false","[A, C, D]",10.06,0.0,10.019,0.005,0.041,0.004,0.002
"false","[B, C, D]",1.059,0.0,1.012,0.003,0.047,0.046,0.002
"false","[A, B, C, D]",14.063,0.0,14.02,0.004,0.043,0.003,0.002

MSE: 0.002
RMSE: 0.047
MAPE: 2.787
