measured,configuration,feature_wise,feature_wise_std,brute_force,brute_force_std,absolute error,relative error,squared error
"false","[]",1.01,0.0,1.007,0.002,0.003,0.003,0
"true","[A]",3.01,0.0,3.012,0.003,0.002,0.001,0
"true","[B]",1.01,0.0,1.01,0.002,0,0,0
"true","[C]",1.01,0.0,1.012,0.002,0.002,0.002,0
"false","[A, B]",3.01,0.0,7.016,0.006,4.006,0.571,16.048
"true","[D]",1.01,0.0,1.008,0.002,0.002,0.002,0
"false","[A, C]",3.01,0.0,10.021,0.005,7.011,0.7,49.154
"false","[B, C]",1.01,0.0,1.007,0.003,0.003,0.003,0
"false","[A, D]",3.01,0.0,3.011,0.006,0.001,0,0
"false","[B, D]",1.01,0.0,1.013,0.003,0.003,0.003,0
"false","[A, B, C]",3.01,0.0,14.018,0.007,11.008,0.785,121.176
"false","[C, D]",1.01,0.0,1.008,0.001,0.002,0.002,0
"false","[A, B, D]",3.01,0.0,7.013,0.004,4.003,0.571,16.024
"false","[A, C, D]",3.01,0.0,10.019,0.006,7.009,0.7,49.126
"false","[B, C, D]",1.01,0.0,1.012,0.003,0.002,0.002,0
"false","[A, B, C, D]",3.01,0.0,14.02,0.005,11.01,0.785,121.22

MSE: 31.062
RMSE: 5.573
MAPE: 34.373
