measured,configuration,pair_wise,pair_wise_std,brute_force,brute_force_std,absolute error,relative error,squared error
"true","[]",13.067,0.0,13.067,4.823,0,0,0
"true","[A]",3.012,0.0,3.012,0.003,0,0,0
"true","[B]",1.01,0.0,1.01,0.002,0,0,0
"true","[C]",1.012,0.0,1.012,0.003,0,0,0
"true","[A, B]",7.016,0.0,7.016,0.005,0,0,0
"true","[D]",1.008,0.0,1.008,0.002,0,0,0
"true","[A, C]",10.021,0.0,10.021,0.004,0,0,0
"true","[B, C]",1.007,0.0,1.007,0.003,0,0,0
"true","[A, D]",3.011,0.0,3.011,0.005,0,0,0
"true","[B, D]",1.013,0.0,1.013,0.004,0,0,0
"false","[A, B, C]",26.077,0.0,14.018,0.006,12.059,0.86,145.419
"true","[C, D]",1.008,0.0,1.008,0.003,0,0,0
"false","[A, B, D]",19.077,0.0,7.013,0.004,12.064,1.72,145.54
"false","[A, C, D]",22.075,0.0,10.019,0.005,12.056,1.203,145.347
"false","[B, C, D]",13.065,0.0,1.012,0.003,12.053,11.91,145.275
"false","[A, B, C, D]",50.193,0.0,14.02,0.004,36.173,2.58,1308.486

MSE: 378.013
RMSE: 19.443
MAPE: 365.48
