measured,configuration,splat,splat_std,brute_force,brute_force_std,absolute error,relative error,squared error
"true","[]",1.007,0.002,1.007,0.002,0,0,0
"true","[A]",3.012,0.003,3.012,0.003,0,0,0
"true","[B]",1.01,0.002,1.01,0.002,0,0,0
"false","[C]",1.007,0.002,1.012,0.003,0.005,0.005,0
"true","[A, B]",7.016,0.005,7.016,0.005,0,0,0
"false","[D]",1.007,0.002,1.008,0.002,0.001,0.001,0
"true","[A, C]",10.021,0.004,10.021,0.004,0,0,0
"false","[A, D]",3.012,0.003,3.011,0.005,0.001,0,0
"false","[B, C]",1.01,0.002,1.007,0.003,0.003,0.003,0
"false","[B, D]",1.01,0.002,1.013,0.004,0.003,0.003,0
"true","[A, B, C]",14.018,0.006,14.018,0.006,0,0,0
"false","[C, D]",1.007,0.002,1.008,0.003,0.001,0.001,0
"false","[A, B, D]",7.016,0.005,7.013,0.004,0.003,0,0
"false","[A, C, D]",10.021,0.004,10.019,0.005,0.002,0,0
"false","[B, C, D]",1.01,0.002,1.012,0.003,0.002,0.002,0
"false","[A, B, C, D]",14.018,0.006,14.02,0.004,0.002,0,0

MSE: 0
RMSE: 0.003
MAPE: 0.159
