A,B,C,D,E,F,G,H,I,J,time
0,1,0,0,0,0,0,0,0,1,1.213
0,1,0,0,0,0,0,1,0,0,2.02
0,1,1,0,0,0,0,0,0,0,1.521
0,0,0,0,1,0,0,0,1,0,2.418
0,0,1,0,1,0,0,0,0,0,1.808
0,0,0,0,1,0,0,0,0,0,1.506
0,0,0,0,1,0,0,1,0,0,2.315
0,1,0,0,0,0,0,0,1,0,2.126
1,0,1,0,0,0,0,0,0,0,7.432
0,0,0,0,0,0,1,0,0,0,1.709
1,1,0,0,0,0,0,0,0,0,6.322
0,0,0,0,1,0,1,0,0,0,2.211
0,0,1,0,0,0,1,0,0,0,2.016
1,0,0,1,0,0,0,0,0,0,3.526
1,0,0,0,0,0,0,0,0,0,3.124
0,0,0,1,0,0,1,0,0,0,2.126
0,0,0,1,0,0,0,0,1,0,2.324
1,0,0,0,0,1,0,0,0,0,3.724
0,0,1,0,0,0,0,1,0,0,2.119
1,0,0,0,1,0,0,0,0,0,3.63
0,0,0,0,0,0,1,1,0,0,2.516
0,0,1,0,0,0,0,0,0,1,1.318
0,0,1,0,0,0,0,0,1,0,2.221
0,1,0,0,0,0,1,0,0,0,1.921
1,0,0,0,0,0,0,1,0,0,3.921
0,0,0,1,0,0,0,0,0,1,1.41
0,0,0,0,0,1,0,0,0,1,1.616
0,0,1,0,0,0,0,0,0,0,1.323
0,0,0,0,0,0,1,0,0,1,1.707
0,0,0,0,0,0,1,0,1,0,2.622
1,0,0,0,0,0,1,0,0,0,3.823
0,0,0,0,0,1,1,0,0,0,2.319
0,0,0,0,0,0,0,1,1,0,2.711
0,0,0,0,0,1,0,0,0,0,1.612
0,0,0,0,0,0,0,0,0,0,1.007
0,1,0,0,0,0,0,0,0,0,1.213
0,0,0,1,0,1,0,0,0,0,2.014
0,0,0,0,0,0,0,1,0,0,1.809
1,0,0,0,0,0,0,0,0,1,3.117
0,0,0,1,0,0,0,0,0,0,1.413
0,0,0,0,0,0,0,0,1,0,1.918
0,0,0,0,0,1,0,0,1,0,2.522
0,1,0,1,0,0,0,0,0,0,1.621
0,0,1,1,0,0,0,0,0,0,1.718
1,0,0,0,0,0,0,0,1,0,4.031
0,0,1,0,0,1,0,0,0,0,1.914
0,0,0,0,0,0,0,0,1,1,1.904
0,0,0,1,1,0,0,0,0,0,1.918
0,0,0,0,1,1,0,0,0,0,2.12
0,0,0,0,0,1,0,1,0,0,2.419
0,1,0,0,0,1,0,0,0,0,1.814
0,0,0,0,0,0,0,0,0,1,1.009
0,0,0,0,0,0,0,1,0,1,1.809
0,1,0,0,1,0,0,0,0,0,1.715
0,0,0,0,1,0,0,0,0,1,1.519
0,0,0,1,0,0,0,1,0,0,2.216
