measured,configuration,performance,std,minci,maxci
true,"[B, C, F, G, J]",2.829,0,0,0
true,"[B, C, D, F, J]",2.52,0,0,0
true,"[B, C, D, F, G, H]",4.037,0,0,0
true,"[A, B, E, G, H]",8.34,0,0,0
true,"[B, C, D, E, H, I, J]",4.146,0,0,0
true,"[C, D, E, F, H, I, J]",9.547,0,0,0
true,"[A, B, D, E, G, J]",7.945,0,0,0
true,"[B, C, G, H, I]",3.927,0,0,0
true,"[C, D, H, J]",2.518,0,0,0
true,"[E, G, H, I, J]",3.934,0,0,0
true,"[B, C, D, F, G, I, J]",4.139,0,0,0
true,"[B, G, H, J]",2.726,0,0,0
true,"[A, B, C, D, G, H, I]",13.461,0,0,0
true,"[E, F, I, J]",3.021,0,0,0
true,"[D, H, I]",3.118,0,0,0
true,"[D, H, I, J]",3.133,0,0,0
true,"[A, C, D, G, H]",9.359,0,0,0
true,"[C, F]",1.914,0,0,0
true,"[F, G, J]",2.318,0,0,0
true,"[A, E, F, H, I]",5.934,0,0,0
true,"[D, E, J]",1.919,0,0,0
true,"[A, E, F, G, H, J]",5.738,0,0,0
true,"[B, F, G, J]",2.534,0,0,0
true,"[B, E]",1.715,0,0,0
true,"[D, F, I, J]",2.933,0,0,0
true,"[A, B, D, E, J]",7.254,0,0,0
true,"[B, C, D, H]",2.736,0,0,0
true,"[A, B, C, F, J]",11.249,0,0,0
true,"[A, E, F, G, I, J]",5.854,0,0,0
true,"[A, B, C, D, E, G, H, J]",13.071,0,0,0
true,"[A, E, F, H, J]",5.032,0,0,0
true,"[A, B, C, D, E, G, I, J]",13.166,0,0,0
true,"[D, F, H, J]",2.824,0,0,0
true,"[A, D, G, H, I, J]",5.934,0,0,0
true,"[A, C, D, E, F, H, I]",15.65,0,0,0
true,"[D, E, I, J]",2.823,0,0,0
true,"[D, E]",1.918,0,0,0
true,"[B, C, G, H, I, J]",3.947,0,0,0
true,"[A, J]",3.117,0,0,0
true,"[A, D, F, G, I]",5.741,0,0,0
true,"[A, B, C, E, G, H, J]",12.664,0,0,0
true,"[A, H, I, J]",4.83,0,0,0
true,"[C, D, F, G]",3.032,0,0,0
true,"[A, B, D, E, F, G, H, I]",15.269,0,0,0
true,"[B, D, F, G, I]",3.824,0,0,0
true,"[B, C, E, H, I, J]",3.731,0,0,0
true,"[B, E, F, H, J]",3.127,0,0,0
true,"[A, D, G, H, J]",5.04,0,0,0
true,"[C, D, G, H, I]",4.142,0,0,0
true,"[A, B, C, D]",11.048,0,0,0
true,"[B, D, F, G, J]",2.936,0,0,0
true,"[A, C, D]",7.818,0,0,0
true,"[C, D, F, G, I]",3.938,0,0,0
true,"[C, D, F, I]",3.235,0,0,0
true,"[A, E, H, I, J]",5.342,0,0,0
true,"[B, D, E, F, H, I]",9.434,0,0,0
true,"[A, B, D, E, F, G]",13.541,0,0,0
