measured,configuration,performance,std
true,"[]",1.007,0
false,"[J]",1.007,0
true,"[A]",3.124,0
false,"[A, J]",3.124,0
true,"[B]",1.213,0
false,"[B, J]",1.213,0
true,"[C]",1.323,0
false,"[C, J]",1.323,0
true,"[D]",1.413,0
false,"[D, J]",1.413,0
true,"[E]",1.506,0
false,"[E, J]",1.506,0
true,"[F]",1.612,0
false,"[F, J]",1.612,0
true,"[G]",1.709,0
false,"[G, J]",1.709,0
true,"[H]",1.809,0
false,"[H, J]",1.809,0
true,"[I]",1.918,0
false,"[I, J]",1.918,0
true,"[A, B]",6.322,0
false,"[A, B, J]",6.322,0
true,"[A, C]",7.432,0
false,"[A, C, J]",7.432,0
true,"[B, C]",1.521,0
false,"[B, C, J]",1.521,0
true,"[A, D]",3.526,0
false,"[A, D, J]",3.526,0
true,"[B, D]",1.621,0
false,"[B, D, J]",1.621,0
true,"[A, E]",3.63,0
false,"[A, E, J]",3.63,0
true,"[C, D]",1.718,0
false,"[C, D, J]",1.718,0
true,"[B, E]",1.715,0
false,"[B, E, J]",1.715,0
true,"[A, F]",3.724,0
false,"[A, F, J]",3.724,0
true,"[C, E]",1.808,0
false,"[C, E, J]",1.808,0
true,"[B, F]",1.814,0
false,"[B, F, J]",1.814,0
true,"[A, G]",3.823,0
false,"[A, G, J]",3.823,0
true,"[C, F]",1.914,0
false,"[C, F, J]",1.914,0
true,"[D, E]",1.918,0
false,"[D, E, J]",1.918,0
true,"[B, G]",1.921,0
false,"[B, G, J]",1.921,0
true,"[A, H]",3.921,0
false,"[A, H, J]",3.921,0
true,"[C, G]",2.016,0
false,"[C, G, J]",2.016,0
true,"[D, F]",2.014,0
false,"[D, F, J]",2.014,0
true,"[B, H]",2.02,0
false,"[B, H, J]",2.02,0
true,"[A, I]",4.031,0
false,"[A, I, J]",4.031,0
true,"[E, F]",2.12,0
false,"[E, F, J]",2.12,0
true,"[C, H]",2.119,0
false,"[C, H, J]",2.119,0
true,"[D, G]",2.126,0
false,"[D, G, J]",2.126,0
true,"[B, I]",2.126,0
false,"[B, I, J]",2.126,0
true,"[E, G]",2.211,0
false,"[E, G, J]",2.211,0
true,"[C, I]",2.221,0
