measured,configuration,config_crusher,config_crusher_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"true","[]",64.95,0.0,84.435,0.912,82.983,85.887,false,19.485,0.231,379.665
"false","[VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, GENERALNUMRICSORT, IGNORECASE]",13.378,0.0,13.5,0.307,13.011,13.989,true,0.122,0.009,0.015
"true","[IGNORELEADINGBLANKS, NUMBERICSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",29.793,0.0,29.399,0.723,28.249,30.549,true,0.394,0.013,0.155
"true","[IGNORELEADINGBLANKS, NUMBERICSORT, CHECK]",1.533,0.0,1.534,0.002,1.531,1.538,true,0.001,0.001,0
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, UNIQUE, CHECK, REVERSE, GENERALNUMRICSORT]",1.534,0.0,1.535,0.003,1.529,1.54,true,0.001,0.001,0
"false","[IGNORELEADINGBLANKS, VERSIONSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",1.531,0.0,1.533,0.005,1.526,1.541,true,0.002,0.001,0
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, UNIQUE, CHECK, REVERSE, IGNORECASE]",1.562,0.0,1.571,0.004,1.564,1.578,false,0.009,0.006,0
"false","[MONTHSORT, HUMANNUMERICSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE]",1.537,0.0,1.539,0.01,1.522,1.555,true,0.002,0.001,0
"false","[MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, CHECK, REVERSE, GENERALNUMRICSORT]",103.796,0.0,102.374,1.306,100.295,104.453,true,1.422,0.014,2.022
"false","[MONTHSORT, VERSIONSORT, CHECK, GENERALNUMRICSORT, IGNORECASE]",1.534,0.0,1.533,0.004,1.527,1.54,true,0.001,0.001,0
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",17.084,0.0,17.15,0.445,16.443,17.857,true,0.066,0.004,0.004
"false","[IGNORELEADINGBLANKS, MONTHSORT, UNIQUE]",50.979,0.0,50.509,0.391,49.887,51.131,true,0.47,0.009,0.221
"false","[VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",16.892,0.0,17.251,0.164,16.99,17.512,false,0.359,0.021,0.129
"false","[VERSIONSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",1.53,0.0,1.536,0.006,1.526,1.546,true,0.006,0.004,0
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT]",13.388,0.0,13.441,0.317,12.937,13.945,true,0.053,0.004,0.003
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",1.534,0.0,1.538,0.009,1.523,1.552,true,0.004,0.003,0
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, NUMBERICSORT, UNIQUE, CHECK, REVERSE, IGNORECASE]",1.538,0.0,1.537,0.003,1.533,1.541,true,0.001,0.001,0
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, NUMBERICSORT, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",29.619,0.0,29.76,0.897,28.333,31.187,true,0.141,0.005,0.02
"true","[IGNORELEADINGBLANKS, MERGE, UNIQUE, CHECK, REVERSE, GENERALNUMRICSORT]",101.922,0.0,102.961,1.45,100.654,105.269,true,1.039,0.01,1.08
"false","[IGNORELEADINGBLANKS, MONTHSORT, REVERSE]",40.591,0.0,40.667,0.754,39.467,41.868,true,0.076,0.002,0.006
"false","[DICTIONARYORDER, CHECK, IGNORECASE]",1.567,0.0,1.567,0.007,1.555,1.578,true,0,0,0
"false","[MERGE, DICTIONARYORDER, GENERALNUMRICSORT]",288.625,0.0,288.458,2.75,284.082,292.834,true,0.167,0.001,0.028
"false","[HUMANNUMERICSORT, CHECK, REVERSE, GENERALNUMRICSORT]",1.536,0.0,1.537,0.005,1.529,1.544,true,0.001,0.001,0
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, GENERALNUMRICSORT]",1.539,0.0,1.536,0.011,1.518,1.554,true,0.003,0.002,0
"true","[MERGE, NUMBERICSORT, CHECK, REVERSE, GENERALNUMRICSORT]",17.221,0.0,17.757,0.524,16.924,18.591,true,0.536,0.03,0.287
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, MERGE, NUMBERICSORT, REVERSE, GENERALNUMRICSORT, IGNORECASE]",17.446,0.0,17.117,0.206,16.789,17.445,false,0.329,0.019,0.108
"false","[VERSIONSORT, NUMBERICSORT, DICTIONARYORDER, REVERSE]",4.876,0.0,4.937,0.128,4.734,5.14,true,0.061,0.012,0.004
"false","[MONTHSORT, MERGE, CHECK]",143.664,0.0,139.239,1.054,137.562,140.917,false,4.425,0.032,19.581
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, REVERSE, GENERALNUMRICSORT]",17.307,0.0,17.348,0.105,17.18,17.516,true,0.041,0.002,0.002
"true","[MERGE, NUMBERICSORT, CHECK, GENERALNUMRICSORT, IGNORECASE]",13.341,0.0,13.443,0.194,13.135,13.751,true,0.102,0.008,0.01
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE]",1.568,0.0,1.567,0.012,1.548,1.586,true,0.001,0.001,0
"false","[HUMANNUMERICSORT, MERGE]",152.218,0.0,146.577,8.578,132.927,160.227,true,5.641,0.038,31.821
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, MERGE, NUMBERICSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",13.167,0.0,13.508,0.219,13.16,13.857,true,0.341,0.025,0.116
"false","[MONTHSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, IGNORECASE]",1.538,0.0,1.538,0.006,1.528,1.548,true,0,0,0
"false","[IGNORELEADINGBLANKS, VERSIONSORT, NUMBERICSORT]",3.475,0.0,3.54,0.066,3.434,3.645,true,0.065,0.018,0.004
"true","[NUMBERICSORT, UNIQUE, REVERSE, IGNORECASE]",30.196,0.0,30.466,0.474,29.712,31.22,true,0.27,0.009,0.073
