measured,configuration,config_crusher,config_crusher_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"true","[]",66.513,0.0,84.435,0.912,82.983,85.887,false,17.922,0.212,321.198
"false","[VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, GENERALNUMRICSORT, IGNORECASE]",13.383,0.0,13.5,0.307,13.011,13.989,true,0.117,0.009,0.014
"true","[IGNORELEADINGBLANKS, NUMBERICSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",29.304,0.0,29.399,0.723,28.249,30.549,true,0.095,0.003,0.009
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, UNIQUE, CHECK, REVERSE, GENERALNUMRICSORT]",1.535,0.0,1.535,0.003,1.529,1.54,true,0,0,0
"true","[IGNORELEADINGBLANKS, NUMBERICSORT, CHECK]",1.535,0.0,1.534,0.002,1.531,1.538,true,0.001,0.001,0
"false","[IGNORELEADINGBLANKS, VERSIONSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",1.531,0.0,1.533,0.005,1.526,1.541,true,0.002,0.001,0
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, UNIQUE, CHECK, REVERSE, IGNORECASE]",1.56,0.0,1.571,0.004,1.564,1.578,false,0.011,0.007,0
"false","[MONTHSORT, HUMANNUMERICSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE]",1.533,0.0,1.539,0.01,1.522,1.555,true,0.006,0.004,0
"false","[MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, CHECK, REVERSE, GENERALNUMRICSORT]",103.384,0.0,102.374,1.306,100.295,104.453,true,1.01,0.01,1.02
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",17.259,0.0,17.15,0.445,16.443,17.857,true,0.109,0.006,0.012
"false","[MONTHSORT, VERSIONSORT, CHECK, GENERALNUMRICSORT, IGNORECASE]",1.53,0.0,1.533,0.004,1.527,1.54,true,0.003,0.002,0
"false","[IGNORELEADINGBLANKS, MONTHSORT, UNIQUE]",51.054,0.0,50.509,0.391,49.887,51.131,true,0.545,0.011,0.297
"false","[VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",17.037,0.0,17.251,0.164,16.99,17.512,true,0.214,0.012,0.046
"false","[VERSIONSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",1.527,0.0,1.536,0.006,1.526,1.546,true,0.009,0.006,0
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT]",13.34,0.0,13.441,0.317,12.937,13.945,true,0.101,0.008,0.01
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",1.53,0.0,1.538,0.009,1.523,1.552,true,0.008,0.005,0
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, NUMBERICSORT, UNIQUE, CHECK, REVERSE, IGNORECASE]",1.54,0.0,1.537,0.003,1.533,1.541,true,0.003,0.002,0
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, NUMBERICSORT, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",30.049,0.0,29.76,0.897,28.333,31.187,true,0.289,0.01,0.084
