measured,configuration,feature_wise,feature_wise_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[]",70.62,0.0,85.285,0,0,0,false,14.665,0.172,215.062
"false","[IGNORELEADINGBLANKS, MONTHSORT, NUMERICSORT, MERGE, CHECK]",9.51,0.0,13.41,0,0,0,false,3.9,0.291,15.21
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, MERGE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMERICSORT]",107.9,0.0,101.093,0,0,0,false,6.807,0.067,46.335
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, MERGE, DICTIONARYORDER, CHECK, REVERSE, IGNORECASE]",76.66,0.0,21.767,0,0,0,false,54.893,2.522,3013.241
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, NUMERICSORT, UNIQUE, CHECK, REVERSE, IGNORECASE]",-65.57,0.0,1.567,0,0,0,false,67.137,42.844,4507.377
"false","[MONTHSORT, HUMANNUMERICSORT, NUMERICSORT, UNIQUE, GENERALNUMERICSORT, IGNORECASE]",34.71,0.0,30.443,0,0,0,false,4.267,0.14,18.207
"false","[IGNORELEADINGBLANKS, MERGE, GENERALNUMERICSORT]",176.94,0.0,285.195,0,0,0,false,108.255,0.38,11719.145
"false","[IGNORELEADINGBLANKS, MONTHSORT, MERGE, IGNORECASE]",145.7,0.0,112.779,0,0,0,false,32.921,0.292,1083.792
"false","[IGNORELEADINGBLANKS, VERSIONSORT, MONTHSORT, NUMERICSORT]",3.47,0.0,3.51,0,0,0,false,0.04,0.011,0.002
"false","[VERSIONSORT, HUMANNUMERICSORT, NUMERICSORT, MERGE, CHECK, REVERSE, GENERALNUMERICSORT]",40.75,0.0,16.906,0,0,0,false,23.844,1.41,568.536
"false","[VERSIONSORT, MONTHSORT, HUMANNUMERICSORT, NUMERICSORT, MERGE, CHECK, REVERSE, IGNORECASE]",9.51,0.0,17.18,0,0,0,false,7.67,0.446,58.829
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, UNIQUE, REVERSE, GENERALNUMERICSORT, IGNORECASE]",101.86,0.0,130.908,0,0,0,false,29.048,0.222,843.786
"false","[IGNORELEADINGBLANKS, VERSIONSORT, MONTHSORT, UNIQUE, DICTIONARYORDER, CHECK, GENERALNUMERICSORT]",32.82,0.0,1.535,0,0,0,false,31.285,20.381,978.751
"false","[CHECK, REVERSE, GENERALNUMERICSORT, IGNORECASE]",32.82,0.0,1.559,0,0,0,false,31.261,20.052,977.25
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, MERGE, UNIQUE]",145.7,0.0,116.971,0,0,0,false,28.729,0.246,825.355
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, NUMERICSORT, MERGE, DICTIONARYORDER, GENERALNUMERICSORT, IGNORECASE]",109.79,0.0,13.358,0,0,0,false,96.432,7.219,9299.131
"false","[VERSIONSORT, HUMANNUMERICSORT, MERGE, REVERSE, GENERALNUMERICSORT, IGNORECASE]",176.94,0.0,106.421,0,0,0,false,70.519,0.663,4972.929
"false","[MONTHSORT, MERGE, CHECK]",76.66,0.0,144.541,0,0,0,false,67.881,0.47,4607.83
"false","[IGNORELEADINGBLANKS, VERSIONSORT, MONTHSORT, MERGE, GENERALNUMERICSORT]",176.94,0.0,285.419,0,0,0,false,108.479,0.38,11767.693
"false","[IGNORELEADINGBLANKS, VERSIONSORT, NUMERICSORT, MERGE, UNIQUE, DICTIONARYORDER, CHECK]",9.51,0.0,13.25,0,0,0,false,3.74,0.282,13.988
"false","[IGNORELEADINGBLANKS, VERSIONSORT, MONTHSORT, HUMANNUMERICSORT, UNIQUE, REVERSE, GENERALNUMERICSORT, IGNORECASE]",101.86,0.0,130.577,0,0,0,false,28.717,0.22,824.666
"false","[IGNORELEADINGBLANKS, MONTHSORT, NUMERICSORT, UNIQUE, DICTIONARYORDER, REVERSE]",3.47,0.0,30.198,0,0,0,false,26.728,0.885,714.386
"false","[HUMANNUMERICSORT, DICTIONARYORDER, CHECK, REVERSE]",1.58,0.0,1.577,0,0,0,false,0.003,0.002,0
"false","[IGNORELEADINGBLANKS, UNIQUE, DICTIONARYORDER, CHECK, GENERALNUMERICSORT]",32.82,0.0,1.565,0,0,0,false,31.255,19.971,976.875
"false","[IGNORELEADINGBLANKS, MONTHSORT, UNIQUE, DICTIONARYORDER, CHECK, IGNORECASE]",1.58,0.0,1.588,0,0,0,false,0.008,0.005,0
"false","[IGNORELEADINGBLANKS, VERSIONSORT, MONTHSORT, HUMANNUMERICSORT, NUMERICSORT, UNIQUE, CHECK, REVERSE, GENERALNUMERICSORT]",-34.33,0.0,1.573,0,0,0,false,35.903,22.825,1289.025
"false","[VERSIONSORT, HUMANNUMERICSORT, NUMERICSORT, REVERSE, IGNORECASE]",3.47,0.0,4.941,0,0,0,false,1.471,0.298,2.164
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, NUMERICSORT, DICTIONARYORDER, CHECK, REVERSE]",-65.57,0.0,1.58,0,0,0,false,67.15,42.5,4509.122
"false","[IGNORELEADINGBLANKS, MONTHSORT, MERGE, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMERICSORT]",176.94,0.0,102.705,0,0,0,false,74.235,0.723,5510.835
