measured,configuration,pair_wise,pair_wise_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"true","[]",77.74,0.0,83.73,0,0,0,false,5.99,0.072,35.88
"false","[VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, GENERALNUMRICSORT, IGNORECASE]",0.0,0.0,13.726,0,0,0,true,13.726,1,188.403
"false","[IGNORELEADINGBLANKS, NUMBERICSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",12.87,0.0,28.33,0,0,0,false,15.46,0.546,239.012
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, UNIQUE, CHECK, REVERSE, GENERALNUMRICSORT]",0.0,0.0,1.538,0,0,0,true,1.538,1,2.365
"false","[IGNORELEADINGBLANKS, NUMBERICSORT, CHECK]",39.54,0.0,1.532,0,0,0,false,38.008,24.809,1444.608
"false","[IGNORELEADINGBLANKS, VERSIONSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",0.0,0.0,1.534,0,0,0,true,1.534,1,2.353
"false","[MONTHSORT, HUMANNUMERICSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE]",0.0,0.0,1.524,0,0,0,true,1.524,1,2.323
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, UNIQUE, CHECK, REVERSE, IGNORECASE]",0.0,0.0,1.576,0,0,0,true,1.576,1,2.484
"false","[MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, CHECK, REVERSE, GENERALNUMRICSORT]",82.2,0.0,103.803,0,0,0,false,21.603,0.208,466.69
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",0.0,0.0,17.538,0,0,0,true,17.538,1,307.581
"false","[MONTHSORT, VERSIONSORT, CHECK, GENERALNUMRICSORT, IGNORECASE]",1.55,0.0,1.531,0,0,0,false,0.019,0.012,0
"false","[IGNORELEADINGBLANKS, MONTHSORT, UNIQUE]",23.43,0.0,50.599,0,0,0,false,27.169,0.537,738.155
"false","[VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",0.0,0.0,17.218,0,0,0,true,17.218,1,296.46
"false","[VERSIONSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",0.0,0.0,1.537,0,0,0,true,1.537,1,2.362
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT]",13.47,0.0,13.912,0,0,0,false,0.442,0.032,0.195
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",0.0,0.0,1.525,0,0,0,true,1.525,1,2.326
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, NUMBERICSORT, UNIQUE, CHECK, REVERSE, IGNORECASE]",0.0,0.0,1.54,0,0,0,true,1.54,1,2.372
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, NUMBERICSORT, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",0.0,0.0,30.184,0,0,0,true,30.184,1,911.074
"false","[IGNORELEADINGBLANKS, MERGE, UNIQUE, CHECK, REVERSE, GENERALNUMRICSORT]",103.08,0.0,103.03,0,0,0,false,0.05,0,0.002
"false","[IGNORELEADINGBLANKS, MONTHSORT, REVERSE]",12.49,0.0,40.16,0,0,0,false,27.67,0.689,765.629
"false","[MERGE, DICTIONARYORDER, GENERALNUMRICSORT]",283.2,0.0,286.925,0,0,0,false,3.725,0.013,13.876
"false","[DICTIONARYORDER, CHECK, IGNORECASE]",0.0,0.0,1.572,0,0,0,true,1.572,1,2.471
"false","[HUMANNUMERICSORT, CHECK, REVERSE, GENERALNUMRICSORT]",0.0,0.0,1.532,0,0,0,true,1.532,1,2.347
"false","[MERGE, NUMBERICSORT, CHECK, REVERSE, GENERALNUMRICSORT]",50.19,0.0,18.294,0,0,0,false,31.896,1.744,1017.355
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, MERGE, NUMBERICSORT, REVERSE, GENERALNUMRICSORT, IGNORECASE]",0.0,0.0,17.316,0,0,0,true,17.316,1,299.844
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, GENERALNUMRICSORT]",55.85,0.0,1.531,0,0,0,false,54.319,35.479,2950.554
"false","[MONTHSORT, MERGE, CHECK]",138.58,0.0,140.405,0,0,0,false,1.825,0.013,3.331
"false","[VERSIONSORT, NUMBERICSORT, DICTIONARYORDER, REVERSE]",0.0,0.0,4.841,0,0,0,true,4.841,1,23.435
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, REVERSE, GENERALNUMRICSORT]",0.0,0.0,17.382,0,0,0,true,17.382,1,302.134
