measured,configuration,feature_wise,feature_wise_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"false","[]",77.78,0.0,84.435,0.912,82.983,85.887,false,6.655,0.079,44.289
"false","[VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, GENERALNUMRICSORT, IGNORECASE]",0.0,0.0,13.5,0.307,13.011,13.989,false,13.5,1,182.25
"false","[IGNORELEADINGBLANKS, NUMBERICSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",0.0,0.0,29.399,0.723,28.249,30.549,false,29.399,1,864.301
"false","[IGNORELEADINGBLANKS, NUMBERICSORT, CHECK]",0.0,0.0,1.534,0.002,1.531,1.538,false,1.534,1,2.353
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, UNIQUE, CHECK, REVERSE, GENERALNUMRICSORT]",0.0,0.0,1.535,0.003,1.529,1.54,false,1.535,1,2.356
"false","[IGNORELEADINGBLANKS, VERSIONSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",0.0,0.0,1.533,0.005,1.526,1.541,false,1.533,1,2.35
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, UNIQUE, CHECK, REVERSE, IGNORECASE]",0.0,0.0,1.571,0.004,1.564,1.578,false,1.571,1,2.468
"false","[MONTHSORT, HUMANNUMERICSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE]",0.0,0.0,1.539,0.01,1.522,1.555,false,1.539,1,2.369
"false","[MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, CHECK, REVERSE, GENERALNUMRICSORT]",63.32,0.0,102.374,1.306,100.295,104.453,false,39.054,0.381,1525.215
"false","[MONTHSORT, VERSIONSORT, CHECK, GENERALNUMRICSORT, IGNORECASE]",1.56,0.0,1.533,0.004,1.527,1.54,false,0.027,0.018,0.001
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",0.0,0.0,17.15,0.445,16.443,17.857,false,17.15,1,294.122
"false","[IGNORELEADINGBLANKS, MONTHSORT, UNIQUE]",40.27,0.0,50.509,0.391,49.887,51.131,false,10.239,0.203,104.837
"false","[VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",0.0,0.0,17.251,0.164,16.99,17.512,false,17.251,1,297.597
"false","[VERSIONSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",0.0,0.0,1.536,0.006,1.526,1.546,false,1.536,1,2.359
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT]",27.85,0.0,13.441,0.317,12.937,13.945,false,14.409,1.072,207.619
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",0.0,0.0,1.538,0.009,1.523,1.552,false,1.538,1,2.365
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, NUMBERICSORT, UNIQUE, CHECK, REVERSE, IGNORECASE]",0.0,0.0,1.537,0.003,1.533,1.541,false,1.537,1,2.362
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, NUMBERICSORT, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",0.0,0.0,29.76,0.897,28.333,31.187,false,29.76,1,885.658
"false","[IGNORELEADINGBLANKS, MERGE, UNIQUE, CHECK, REVERSE, GENERALNUMRICSORT]",25.81,0.0,102.961,1.45,100.654,105.269,false,77.151,0.749,5952.277
"false","[IGNORELEADINGBLANKS, MONTHSORT, REVERSE]",40.27,0.0,40.667,0.754,39.467,41.868,true,0.397,0.01,0.158
"false","[DICTIONARYORDER, CHECK, IGNORECASE]",1.56,0.0,1.567,0.007,1.555,1.578,true,0.007,0.004,0
"false","[MERGE, DICTIONARYORDER, GENERALNUMRICSORT]",139.54,0.0,288.458,2.75,284.082,292.834,false,148.918,0.516,22176.571
"false","[HUMANNUMERICSORT, CHECK, REVERSE, GENERALNUMRICSORT]",1.56,0.0,1.537,0.005,1.529,1.544,false,0.023,0.015,0.001
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, GENERALNUMRICSORT]",0.0,0.0,1.536,0.011,1.518,1.554,false,1.536,1,2.359
"false","[MERGE, NUMBERICSORT, CHECK, REVERSE, GENERALNUMRICSORT]",0.0,0.0,17.757,0.524,16.924,18.591,false,17.757,1,315.311
