measured,configuration,pair_wise,pair_wise_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"true","[]",73.97,0.0,84.435,0.912,82.983,85.887,false,10.465,0.124,109.516
"false","[VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, GENERALNUMRICSORT, IGNORECASE]",200.36,0.0,13.5,0.307,13.011,13.989,false,186.86,13.841,34916.66
"false","[IGNORELEADINGBLANKS, NUMBERICSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",24.43,0.0,29.399,0.723,28.249,30.549,false,4.969,0.169,24.691
"false","[IGNORELEADINGBLANKS, NUMBERICSORT, CHECK]",27.25,0.0,1.534,0.002,1.531,1.538,false,25.716,16.764,661.313
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, UNIQUE, CHECK, REVERSE, GENERALNUMRICSORT]",96.64,0.0,1.535,0.003,1.529,1.54,false,95.105,61.958,9044.961
"false","[IGNORELEADINGBLANKS, VERSIONSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",47.38,0.0,1.533,0.005,1.526,1.541,false,45.847,29.907,2101.947
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, UNIQUE, CHECK, REVERSE, IGNORECASE]",51.26,0.0,1.571,0.004,1.564,1.578,false,49.689,31.629,2468.997
"false","[MONTHSORT, HUMANNUMERICSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE]",1.54,0.0,1.539,0.01,1.522,1.555,true,0.001,0.001,0
"false","[MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, CHECK, REVERSE, GENERALNUMRICSORT]",140.43,0.0,102.374,1.306,100.295,104.453,false,38.056,0.372,1448.259
"false","[MONTHSORT, VERSIONSORT, CHECK, GENERALNUMRICSORT, IGNORECASE]",0.0,0.0,1.533,0.004,1.527,1.54,false,1.533,1,2.35
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",195.0,0.0,17.15,0.445,16.443,17.857,false,177.85,10.37,31630.622
"false","[IGNORELEADINGBLANKS, MONTHSORT, UNIQUE]",84.46,0.0,50.509,0.391,49.887,51.131,false,33.951,0.672,1152.67
"false","[VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",73.63,0.0,17.251,0.164,16.99,17.512,false,56.379,3.268,3178.592
"false","[VERSIONSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",0.0,0.0,1.536,0.006,1.526,1.546,false,1.536,1,2.359
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT]",9.61,0.0,13.441,0.317,12.937,13.945,false,3.831,0.285,14.677
