measured,configuration,splat,splat_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"true","[]",65.361,0,84.435,0.912,82.983,85.887,false,19.074,0.226,363.817
"false","[VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, GENERALNUMRICSORT, IGNORECASE]",13.634,0,13.5,0.307,13.011,13.989,true,0.134,0.01,0.018
"false","[IGNORELEADINGBLANKS, NUMBERICSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",29.845,0,29.399,0.723,28.249,30.549,true,0.446,0.015,0.199
"false","[IGNORELEADINGBLANKS, NUMBERICSORT, CHECK]",1.543,0,1.534,0.002,1.531,1.538,false,0.009,0.006,0
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, UNIQUE, CHECK, REVERSE, GENERALNUMRICSORT]",1.536,0,1.535,0.003,1.529,1.54,true,0.001,0.001,0
"false","[IGNORELEADINGBLANKS, VERSIONSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",1.536,0,1.533,0.005,1.526,1.541,true,0.003,0.002,0
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, UNIQUE, CHECK, REVERSE, IGNORECASE]",1.579,0,1.571,0.004,1.564,1.578,false,0.008,0.005,0
"false","[MONTHSORT, HUMANNUMERICSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE]",1.547,0,1.539,0.01,1.522,1.555,true,0.008,0.005,0
"false","[MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, CHECK, REVERSE, GENERALNUMRICSORT]",104.451,0,102.374,1.306,100.295,104.453,true,2.077,0.02,4.314
"false","[MONTHSORT, VERSIONSORT, CHECK, GENERALNUMRICSORT, IGNORECASE]",1.523,0,1.533,0.004,1.527,1.54,false,0.01,0.007,0
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",17.782,0,17.15,0.445,16.443,17.857,true,0.632,0.037,0.399
"false","[IGNORELEADINGBLANKS, MONTHSORT, UNIQUE]",52.557,0,50.509,0.391,49.887,51.131,false,2.048,0.041,4.194
"false","[VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",17.782,0,17.251,0.164,16.99,17.512,false,0.531,0.031,0.282
"false","[VERSIONSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",1.547,0,1.536,0.006,1.526,1.546,false,0.011,0.007,0
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT]",13.634,0,13.441,0.317,12.937,13.945,true,0.193,0.014,0.037
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",1.547,0,1.538,0.009,1.523,1.552,true,0.009,0.006,0
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, NUMBERICSORT, UNIQUE, CHECK, REVERSE, IGNORECASE]",1.547,0,1.537,0.003,1.533,1.541,false,0.01,0.007,0
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, NUMBERICSORT, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",27.804,0,29.76,0.897,28.333,31.187,false,1.956,0.066,3.826
"false","[IGNORELEADINGBLANKS, MERGE, UNIQUE, CHECK, REVERSE, GENERALNUMRICSORT]",104.451,0,102.961,1.45,100.654,105.269,true,1.49,0.014,2.22
"false","[IGNORELEADINGBLANKS, MONTHSORT, REVERSE]",41.541,0,40.667,0.754,39.467,41.868,true,0.874,0.021,0.764
"false","[DICTIONARYORDER, CHECK, IGNORECASE]",1.574,0,1.567,0.007,1.555,1.578,true,0.007,0.004,0
"false","[MERGE, DICTIONARYORDER, GENERALNUMRICSORT]",286.417,0,288.458,2.75,284.082,292.834,true,2.041,0.007,4.166
"false","[HUMANNUMERICSORT, CHECK, REVERSE, GENERALNUMRICSORT]",1.536,0,1.537,0.005,1.529,1.544,true,0.001,0.001,0
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, GENERALNUMRICSORT]",1.543,0,1.536,0.011,1.518,1.554,true,0.007,0.005,0
"false","[MERGE, NUMBERICSORT, CHECK, REVERSE, GENERALNUMRICSORT]",17.782,0,17.757,0.524,16.924,18.591,true,0.025,0.001,0.001
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, MERGE, NUMBERICSORT, REVERSE, GENERALNUMRICSORT, IGNORECASE]",17.782,0,17.117,0.206,16.789,17.445,false,0.665,0.039,0.442
"false","[VERSIONSORT, NUMBERICSORT, DICTIONARYORDER, REVERSE]",4.82,0,4.937,0.128,4.734,5.14,true,0.117,0.024,0.014
"false","[MONTHSORT, MERGE, CHECK]",139.541,0,139.239,1.054,137.562,140.917,true,0.302,0.002,0.091
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, REVERSE, GENERALNUMRICSORT]",17.782,0,17.348,0.105,17.18,17.516,false,0.434,0.025,0.188
"false","[MERGE, NUMBERICSORT, CHECK, GENERALNUMRICSORT, IGNORECASE]",13.634,0,13.443,0.194,13.135,13.751,true,0.191,0.014,0.036
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE]",1.554,0,1.567,0.012,1.548,1.586,true,0.013,0.008,0
"false","[HUMANNUMERICSORT, MERGE]",139.541,0,146.577,8.578,132.927,160.227,true,7.036,0.048,49.505
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, MERGE, NUMBERICSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",13.634,0,13.508,0.219,13.16,13.857,true,0.126,0.009,0.016
"false","[MONTHSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, IGNORECASE]",1.543,0,1.538,0.006,1.528,1.548,true,0.005,0.003,0
