CHECK,MERGE,UNIQUE,IGNORELEADINGBLANKS,DICTIONARYORDER,IGNORECASE,NUMBERICSORT,GENERALNUMRICSORT,HUMANNUMERICSORT,MONTHSORT,VERSIONSORT,REVERSE,time
0,0,1,0,0,0,0,0,0,0,0,0,113.62
0,0,0,0,0,0,0,1,0,0,0,0,101.703
0,0,0,0,0,0,0,0,1,0,0,0,84.476
0,0,0,0,0,0,0,0,0,1,0,0,84.716
0,0,0,0,0,0,0,0,0,0,1,0,57.151
1,0,0,0,0,0,0,0,0,0,0,0,1.573
0,0,0,1,0,0,0,0,0,0,0,0,42.464
0,1,0,0,0,0,0,0,0,0,0,0,138.684
0,0,0,0,0,0,1,0,0,0,0,0,3.396
0,0,0,0,1,0,0,0,0,0,0,0,84.307
0,0,0,0,0,0,0,0,0,0,0,1,57.863
0,0,0,0,0,1,0,0,0,0,0,0,83.979
