measured,configuration,performance,std,minci,maxci
true,"[CHECK, GENERALNUMRICSORT]",1.531,0,0,0
true,"[IGNORELEADINGBLANKS, HUMANNUMERICSORT, MERGE, UNIQUE, GENERALNUMRICSORT]",284.83,0,0,0
true,"[MONTHSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, REVERSE, GENERALNUMRICSORT, IGNORECASE]",16.865,0,0,0
true,"[MONTHSORT, DICTIONARYORDER, REVERSE]",82.883,0,0,0
true,"[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, MERGE, NUMBERICSORT, UNIQUE, CHECK, REVERSE, IGNORECASE]",17.429,0,0,0
true,"[MONTHSORT, VERSIONSORT, MERGE, CHECK]",139.417,0,0,0
true,"[HUMANNUMERICSORT, MERGE, UNIQUE, DICTIONARYORDER, CHECK, REVERSE]",32.599,0,0,0
true,"[MONTHSORT, HUMANNUMERICSORT, UNIQUE, REVERSE, GENERALNUMRICSORT]",131.16,0,0,0
true,"[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, GENERALNUMRICSORT, IGNORECASE]",13.499,0,0,0
true,"[UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",1.523,0,0,0
true,"[IGNORELEADINGBLANKS, MONTHSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",17.499,0,0,0
true,"[MERGE, NUMBERICSORT, UNIQUE, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",17.148,0,0,0
true,"[VERSIONSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, GENERALNUMRICSORT]",13.307,0,0,0
true,"[IGNORELEADINGBLANKS, MERGE, NUMBERICSORT, UNIQUE, REVERSE, GENERALNUMRICSORT, IGNORECASE]",17.484,0,0,0
true,"[NUMBERICSORT, CHECK]",1.542,0,0,0
true,"[IGNORELEADINGBLANKS, VERSIONSORT, MERGE, UNIQUE, DICTIONARYORDER, CHECK, GENERALNUMRICSORT, IGNORECASE]",287.462,0,0,0
true,"[VERSIONSORT, HUMANNUMERICSORT, NUMBERICSORT, GENERALNUMRICSORT]",3.67,0,0,0
true,"[IGNORELEADINGBLANKS, UNIQUE, GENERALNUMRICSORT]",126.233,0,0,0
true,"[VERSIONSORT, HUMANNUMERICSORT, MERGE, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",101.327,0,0,0
true,"[MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, CHECK, GENERALNUMRICSORT, IGNORECASE]",1.531,0,0,0
true,"[HUMANNUMERICSORT, MERGE]",138.792,0,0,0
true,"[IGNORELEADINGBLANKS, HUMANNUMERICSORT, NUMBERICSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",30.363,0,0,0
true,"[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT]",103.576,0,0,0
true,"[VERSIONSORT, MERGE, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",104.62,0,0,0
true,"[IGNORELEADINGBLANKS, NUMBERICSORT, UNIQUE, CHECK]",1.54,0,0,0
true,"[NUMBERICSORT, REVERSE]",4.954,0,0,0
true,"[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, CHECK, GENERALNUMRICSORT]",13.569,0,0,0
true,"[DICTIONARYORDER, CHECK, GENERALNUMRICSORT, IGNORECASE]",1.541,0,0,0
true,"[MONTHSORT, MERGE, UNIQUE, DICTIONARYORDER, REVERSE]",26.48,0,0,0
true,"[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, REVERSE, GENERALNUMRICSORT]",17.448,0,0,0
true,"[NUMBERICSORT, DICTIONARYORDER, GENERALNUMRICSORT]",3.394,0,0,0
true,"[NUMBERICSORT, UNIQUE, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",1.526,0,0,0
true,"[IGNORELEADINGBLANKS, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, IGNORECASE]",17.371,0,0,0
