measured,configuration,performance,std
true,"[]",64.95,0.0
false,"[VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, GENERALNUMRICSORT, IGNORECASE]",13.378,0.0
true,"[IGNORELEADINGBLANKS, NUMBERICSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",29.793,0.0
true,"[IGNORELEADINGBLANKS, NUMBERICSORT, CHECK]",1.533,0.0
false,"[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, UNIQUE, CHECK, REVERSE, GENERALNUMRICSORT]",1.534,0.0
false,"[IGNORELEADINGBLANKS, VERSIONSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",1.531,0.0
false,"[MONTHSORT, HUMANNUMERICSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE]",1.537,0.0
false,"[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, UNIQUE, CHECK, REVERSE, IGNORECASE]",1.562,0.0
false,"[MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, CHECK, REVERSE, GENERALNUMRICSORT]",103.796,0.0
false,"[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",17.084,0.0
false,"[MONTHSORT, VERSIONSORT, CHECK, GENERALNUMRICSORT, IGNORECASE]",1.534,0.0
false,"[IGNORELEADINGBLANKS, MONTHSORT, UNIQUE]",50.979,0.0
false,"[VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",16.892,0.0
false,"[VERSIONSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",1.53,0.0
false,"[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT]",13.388,0.0
false,"[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",1.534,0.0
false,"[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, NUMBERICSORT, UNIQUE, CHECK, REVERSE, IGNORECASE]",1.538,0.0
false,"[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, NUMBERICSORT, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",29.619,0.0
false,"[IGNORELEADINGBLANKS, MONTHSORT, REVERSE]",40.591,0.0
true,"[IGNORELEADINGBLANKS, MERGE, UNIQUE, CHECK, REVERSE, GENERALNUMRICSORT]",101.922,0.0
false,"[DICTIONARYORDER, CHECK, IGNORECASE]",1.567,0.0
false,"[MERGE, DICTIONARYORDER, GENERALNUMRICSORT]",288.625,0.0
false,"[HUMANNUMERICSORT, CHECK, REVERSE, GENERALNUMRICSORT]",1.536,0.0
false,"[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, GENERALNUMRICSORT]",1.539,0.0
false,"[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, MERGE, NUMBERICSORT, REVERSE, GENERALNUMRICSORT, IGNORECASE]",17.446,0.0
true,"[MERGE, NUMBERICSORT, CHECK, REVERSE, GENERALNUMRICSORT]",17.221,0.0
false,"[VERSIONSORT, NUMBERICSORT, DICTIONARYORDER, REVERSE]",4.876,0.0
false,"[MONTHSORT, MERGE, CHECK]",143.664,0.0
false,"[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, REVERSE, GENERALNUMRICSORT]",17.307,0.0
true,"[MERGE, NUMBERICSORT, CHECK, GENERALNUMRICSORT, IGNORECASE]",13.341,0.0
false,"[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE]",1.568,0.0
false,"[HUMANNUMERICSORT, MERGE]",152.218,0.0
false,"[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, MERGE, NUMBERICSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",13.167,0.0
false,"[MONTHSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, IGNORECASE]",1.538,0.0
false,"[IGNORELEADINGBLANKS, VERSIONSORT, NUMBERICSORT]",3.475,0.0
true,"[NUMBERICSORT, UNIQUE, REVERSE, IGNORECASE]",30.196,0.0
true,"[IGNORELEADINGBLANKS, NUMBERICSORT, REVERSE, GENERALNUMRICSORT, IGNORECASE]",4.832,0.0
false,"[VERSIONSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, REVERSE]",17.019,0.0
false,"[MONTHSORT, VERSIONSORT, DICTIONARYORDER, CHECK, REVERSE]",1.569,0.0
false,"[VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER]",13.325,0.0
