measured,configuration,performance,std
false,"[CHECKSUM, FORCE, TRANSFORM, LEVEL, VERBOSE]",58.35,0.0
true,"[]",0.229,0.0
true,"[CHECKSUM]",0.29,0.0
false,"[FORCE, TRANSFORM, LEVEL, VERBOSE]",58.67,0.0
false,"[CHECKSUM, BLOCKSIZE, TRANSFORM, LEVEL, VERBOSE]",58.491,0.0
false,"[BLOCKSIZE, TRANSFORM, LEVEL, VERBOSE]",58.827,0.0
false,"[FORCE, BLOCKSIZE, LEVEL, ENTROPY]",57.848,0.0
false,"[CHECKSUM, TRANSFORM, LEVEL, ENTROPY]",58.489,0.0
false,"[CHECKSUM, FORCE, LEVEL, VERBOSE, ENTROPY]",57.509,0.0
true,"[VERBOSE, ENTROPY]",0.247,0.0
false,"[FORCE, LEVEL, VERBOSE, ENTROPY]",57.846,0.0
false,"[CHECKSUM, FORCE, BLOCKSIZE, LEVEL, ENTROPY]",57.497,0.0
false,"[TRANSFORM, LEVEL, ENTROPY]",58.84,0.0
false,"[CHECKSUM, BLOCKSIZE, LEVEL, VERBOSE, ENTROPY]",57.574,0.0
false,"[CHECKSUM, FORCE, BLOCKSIZE, ENTROPY]",0.774,0.0
false,"[BLOCKSIZE, LEVEL, VERBOSE, ENTROPY]",57.927,0.0
false,"[FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, ENTROPY]",0.773,0.0
false,"[FORCE, BLOCKSIZE, ENTROPY]",0.722,0.0
false,"[CHECKSUM, VERBOSE, ENTROPY]",0.303,0.0
false,"[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, ENTROPY]",0.837,0.0
true,"[TRANSFORM, VERBOSE]",0.256,0.0
false,"[CHECKSUM, TRANSFORM, VERBOSE]",0.329,0.0
false,"[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, LEVEL]",58.394,0.0
false,"[CHECKSUM, BLOCKSIZE, LEVEL]",57.735,0.0
true,"[BLOCKSIZE, LEVEL]",58.083,0.0
false,"[FORCE, BLOCKSIZE, TRANSFORM, LEVEL]",58.728,0.0
false,"[CHECKSUM, BLOCKSIZE, TRANSFORM, VERBOSE]",0.895,0.0
false,"[CHECKSUM, FORCE, VERBOSE, ENTROPY]",0.293,0.0
false,"[BLOCKSIZE, TRANSFORM, VERBOSE]",0.828,0.0
true,"[LEVEL]",58.142,0.0
true,"[BLOCKSIZE, ENTROPY]",0.717,0.0
true,"[FORCE]",0.247,0.0
true,"[CHECKSUM, LEVEL]",57.8,0.0
false,"[CHECKSUM, LEVEL, VERBOSE]",57.736,0.0
false,"[CHECKSUM, BLOCKSIZE, TRANSFORM]",0.841,0.0
false,"[CHECKSUM, BLOCKSIZE, LEVEL, ENTROPY]",57.637,0.0
false,"[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, LEVEL, VERBOSE]",58.346,0.0
false,"[BLOCKSIZE, TRANSFORM, VERBOSE, ENTROPY]",0.795,0.0
false,"[CHECKSUM, FORCE, TRANSFORM]",0.298,0.0
false,"[CHECKSUM, FORCE, BLOCKSIZE, LEVEL, VERBOSE, ENTROPY]",57.418,0.0
true,"[CHECKSUM, FORCE]",0.318,0.0
false,"[CHECKSUM, BLOCKSIZE, TRANSFORM, LEVEL, ENTROPY]",58.429,0.0
false,"[FORCE, BLOCKSIZE, LEVEL, VERBOSE]",57.873,0.0
true,"[CHECKSUM, BLOCKSIZE]",0.804,0.0
