measured,configuration,performance,std
true,"[COMPRESSOR, ITERATIONS]",215.943,1.825
true,"[LOGLEVEL, REMOVEGAMMA, COMPRESSIONLEVEL]",6.396,0.089
true,"[ITERATIONS]",0.371,0.009
true,"[ITERATIONS, LOGLEVEL, REMOVEGAMMA, COMPRESSIONLEVEL]",5.934,0.131
true,"[]",0.36,0.001
true,"[COMPRESSOR, COMPRESSIONLEVEL]",79.553,0.735
true,"[COMPRESSOR, ITERATIONS, LOGLEVEL, REMOVEGAMMA, COMPRESSIONLEVEL]",214.08,2.301
true,"[COMPRESSOR, ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",215.77,0.611
true,"[COMPRESSOR, ITERATIONS, LOGLEVEL, REMOVEGAMMA]",213.723,1.701
true,"[LOGLEVEL, REMOVEGAMMA]",0.374,0.003
true,"[COMPRESSOR, LOGLEVEL, REMOVEGAMMA, COMPRESSIONLEVEL]",80.794,0.577
true,"[COMPRESSOR, REMOVEGAMMA]",80.607,0.721
true,"[COMPRESSOR, ITERATIONS, LOGLEVEL]",214.758,1.872
true,"[ITERATIONS, COMPRESSIONLEVEL]",6.081,0.113
true,"[COMPRESSOR, REMOVEGAMMA, COMPRESSIONLEVEL]",79.955,0.782
true,"[COMPRESSOR, LOGLEVEL]",80.62,0.382
true,"[REMOVEGAMMA]",0.358,0.004
true,"[COMPRESSOR, LOGLEVEL, COMPRESSIONLEVEL]",82.777,0.842
true,"[LOGLEVEL]",0.375,0.004
true,"[ITERATIONS, LOGLEVEL]",0.373,0.005
true,"[COMPRESSOR, ITERATIONS, REMOVEGAMMA, COMPRESSIONLEVEL]",218.036,1.631
true,"[ITERATIONS, LOGLEVEL, REMOVEGAMMA]",0.382,0.017
true,"[COMPRESSOR]",80.882,1.59
true,"[ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",6.017,0.23
true,"[LOGLEVEL, COMPRESSIONLEVEL]",6.073,0.208
true,"[COMPRESSOR, ITERATIONS, COMPRESSIONLEVEL]",214.553,1.455
true,"[COMPRESSIONLEVEL]",5.94,0.225
true,"[ITERATIONS, REMOVEGAMMA]",0.351,0.005
true,"[COMPRESSOR, LOGLEVEL, REMOVEGAMMA]",81.051,0.349
true,"[ITERATIONS, REMOVEGAMMA, COMPRESSIONLEVEL]",6.024,0.246
true,"[REMOVEGAMMA, COMPRESSIONLEVEL]",6.334,0.059
true,"[COMPRESSOR, ITERATIONS, REMOVEGAMMA]",217.878,2.446
