measured,configuration,performance,std
false,"[LOGLEVEL, COMPRESSIONLEVEL]",5.957,0.0
false,"[]",0.358,0.0
false,"[COMPRESSOR, LOGLEVEL]",80.899,0.0
false,"[COMPRESSOR, COMPRESSIONLEVEL, REMOVEGAMMA]",86.464,0.0
false,"[COMPRESSOR, COMPRESSIONLEVEL]",86.464,0.0
false,"[ITERATIONS, REMOVEGAMMA]",0.371,0.0
false,"[ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",5.97,0.0
false,"[ITERATIONS, LOGLEVEL]",0.388,0.0
false,"[ITERATIONS, COMPRESSIONLEVEL]",5.953,0.0
false,"[ITERATIONS, COMPRESSIONLEVEL, REMOVEGAMMA]",5.953,0.0
false,"[COMPRESSOR, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",86.481,0.0
false,"[LOGLEVEL, REMOVEGAMMA]",0.375,0.0
false,"[COMPRESSOR, ITERATIONS]",80.895,0.0
false,"[COMPRESSIONLEVEL, REMOVEGAMMA]",5.94,0.0
false,"[COMPRESSOR, ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",86.494,0.0
true,"[LOGLEVEL]",0.375,0.0
false,"[COMPRESSOR, ITERATIONS, REMOVEGAMMA]",80.895,0.0
false,"[COMPRESSOR, ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",86.494,0.0
true,"[COMPRESSIONLEVEL]",5.94,0.0
true,"[COMPRESSOR]",80.882,0.0
false,"[COMPRESSOR, LOGLEVEL, COMPRESSIONLEVEL]",86.481,0.0
false,"[ITERATIONS, LOGLEVEL, REMOVEGAMMA]",0.388,0.0
false,"[COMPRESSOR, REMOVEGAMMA]",80.882,0.0
false,"[COMPRESSOR, ITERATIONS, COMPRESSIONLEVEL]",86.477,0.0
true,"[ITERATIONS]",0.371,0.0
false,"[ITERATIONS, LOGLEVEL, COMPRESSIONLEVEL]",5.97,0.0
false,"[COMPRESSOR, LOGLEVEL, REMOVEGAMMA]",80.899,0.0
false,"[COMPRESSOR, ITERATIONS, COMPRESSIONLEVEL, REMOVEGAMMA]",86.477,0.0
false,"[LOGLEVEL, COMPRESSIONLEVEL, REMOVEGAMMA]",5.957,0.0
true,"[REMOVEGAMMA]",0.358,0.0
false,"[COMPRESSOR, ITERATIONS, LOGLEVEL]",80.912,0.0
false,"[COMPRESSOR, ITERATIONS, LOGLEVEL, REMOVEGAMMA]",80.912,0.0
